电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,Column1
万万没想到,21671000,211000,236000,106000,100000,喜剧奇幻冒险,8.1,4216,95,8,1082,简介：屌丝小妖王大锤（白客 饰），他生来便与常人不同，两耳尖尖，又有些小法力，总是自诩本地妖王。但让他万万没想到的是，在遇到唐僧师徒四人组后，他的命运发生了逆转；而对于唐僧师徒四人组来说，遇见王大锤也是无比郁闷的第八十二难。双方因此上演了一出相爱相杀，令人捧腹的奇幻冒险。,
西游记之大圣归来,14547000,358000,286000,163000,61000,喜剧动作奇幻动画,9.2,5840,89,17,1428,简介：五百年前，由石猴变化而成的齐天大圣孙悟空（张磊 配音）大闹天宫，最终被如来佛祖镇在了五行山下。此去经年，长安城内突然遭到山妖洗劫，童男童女哭声连连，命悬一线。危机时刻，自幼被行脚僧法明（吴文伦 配音）抚养长大的江流儿（林子杰 配音）救下了一个小女孩，结果反遭山妖追杀。经过一番追逐，江流儿无意中解除了孙悟空的封印，齐天大圣自然好好地将山妖教训了一番。因为封印未解开，悟空不得不护送江流儿和小女孩回长安，一路上又遭遇了猪八戒（刘九容 配音）和白龙马。与此同时，妖王（童自荣 配音）绝不甘心失败，他躲在暗中，等待着...,
海啸奇迹,919000,11000,51000,2047,20000,剧情家庭灾难,9.5,834,113,2,214,简介：本片取材于2004年印度洋海啸时发生的一桩真实事件。玛莉雅（娜奥米·沃茨 饰）和亨利（伊万·麦克格雷格 饰）带着三个儿子，一同前往泰国共渡圣诞佳节，不料就在圣诞节隔天，当这幸福的一家人在泳池旁享受着悠闲时光时，一股猛兽般的万呎滔天巨浪竟迎面袭来。被眼前景象震慑住的玛莉雅，一时反应不及，不幸惨遭巨浪袭卷；而尽管亨利及时抓住两个儿子准备逃亡，一切仍旧太迟，凶猛的大水最后仍冲散了他们.....,
赛德克·巴莱,1313000,23000,50000,5538,12000,剧情历史战争,9.4,898,153,6,253,简介：在险恶的日据时代，赛德克族被迫失去自己的文化信仰，男人须服劳役不得狩猎、女人帮佣不能编织彩衣，骁勇善战的英雄莫那鲁道（林庆台 Ching-tai Lin 饰），见证三十年来的压迫统治。因一场误会种下日警和赛德克族的紧张关係，自此族人便活在恐遭日警报复的阴霾中，忍辱负重的莫那鲁道在深思后，虽知将面临灭族危机，但他明白唯有挺身为民族尊严反击，才能成为真正的赛德克人，于是决心带领族人循着祖灵之训示，夺回属于他们的猎场……,
龙门飞甲,3162000,44000,123000,5305,35000,剧情动作,7.4,1746,122,4,399,简介：明朝成化年间，朝纲腐败，奸邪当道。西厂东厂为宦官把持，混淆黑白，陷害忠良，朝野内外噤若寒蝉。时有赵怀安等流亡剑客挺身而出，接连铲除东厂数名奸佞，致令阉贼胆战心惊。适值此时，风头正劲的西厂督主雨化田出面干预。另一方面，宫女素慧容怀有身孕，绝命奔逃。被雨化田的爪牙追捕途中幸得神秘侠客凌雁秋相救。二人一路辗转逃往关外，来到曾经引起过腥风血雨的龙门客栈落脚...,
烈日灼心,8010000,126000,257000,48000,89000,剧情犯罪悬疑,9.6,6577,138,16,1472,简介：七年前，福建西陇发生一起惨绝人寰的灭门惨案，某别墅内一家五口同日惨死，在社会上引起极大的震动，然而此去经年，嫌疑人杨自道（郭涛 饰）、辛小丰（邓超 饰）、陈比觉（高虎 饰）却依然逍遥法外。现如今，这三个人都在厦门过活，杨当起了出租车司机，小丰加入了协警队伍，因意外变成傻子的陈则带着三人捡来的女孩尾巴栖息在亲戚的渔场中。这一天，拥有丰富办案经验的伊谷春（段奕宏 饰）调到小丰所在的队伍担任警长。伊颇为器重能力卓越的小丰，但嗅觉灵敏的他也隐隐觉出这个男子和当年的灭门惨案有所关联。在此期间，道哥在一次意外中结识...,
催眠大师,1975000,34000,121000,4963,8845,剧情惊悚悬疑,9.2,1052,101,3,258,简介：著名的心理治疗师徐瑞宁（徐峥 饰）擅长催眠治疗，深得业界的赞扬。但是心高气傲的他却遭遇了职业生涯中最棘手的案件，那就是恩师方教授推荐给他的女病人任小妍（莫文蔚 饰）。一天晚上，女助手Amy引见来了任小妍，但是这个女病人似乎一直都不太配合，对待医生态度强硬，而且坚信自己能有超自然的能力，瑞宁觉得她没有说出真相，于是开始了催眠疗法。意想不到的是任小妍反而掌控了局面，而真相居然与瑞宁的妻子以及好友洛雨凇有关，任小妍的身份真正是什么？瑞宁似乎掉进了一个设计好的陷阱里。,
桃姐,519000,10000,30000,3331,14000,剧情家庭,9.6,836,118,2,176,简介：桃姐是侍候了李家数十年的老佣人，把第二代的少爷罗杰抚养成人。罗杰从事电影制片人，五十多岁了仍然独身，而桃姐也继续照顾罗杰，成为习惯…一日，桃姐如常到街市买菜，回寓所煲汤、做好满桌的饭菜，在等待从内地出差回家的罗杰，桃姐看着窗外的街景打发时间，不知不觉间却竟昏迷在地上…桃姐醒来时发现自己身在医院，桃姐是中风了！,
银行大劫案,1242000,3245,18000,700,7309,犯罪惊悚剧情,8.8,280,109,0,53,简介：本片根据真实历史事件改编。1971年，黑人激进组织领导迈克尔X因贩毒被控告，但因他一年前取得了英国皇室成员玛格丽特公主的私密照片并以此要挟官方而被开释。英国军情五处工作人员提姆受命取回收藏在伦敦某银行的这批照片。提姆物色到贩毒女子玛婷，要挟她抢劫银行来为自己取得照片。玛婷很快同以泰瑞（杰森·斯坦森 饰）为首的几个半职业罪犯或新人组成了计划挖地道劫掠保险库的团伙。,
一次别离,480000,11000,106000,1790,7445,剧情家庭,9.6,409,122,8,93,简介：纳德（佩曼?莫阿迪 Peyman Moadi 饰）与西敏（蕾拉?哈塔米 Leila Hatami 饰）是一对夫妻，他们的女儿叫特梅（萨日娜?法哈蒂 Sarina Farhadi 饰）。西敏希望一家三口移居国外，但是纳德坚决反对，原因是纳德的父亲患有老年痴呆症需要照顾。两人为此对薄公堂，准备离婚，但是法院驳回了她的请求。西敏赌气回了娘家。西敏走后，纳德分身乏术，聘请了一位护工瑞茨（萨瑞?巴亚特 Sareh Bayat 饰）照顾父亲。但是，父亲如厕问题始终困扰瑞茨，依《古兰经》教义，她感到禁忌重重。瑞茨的女儿陪伴在她左右，也令她分神。几个回合下来，纳德某次回家...,
