电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
花园宝宝 中文配音,6978000,41000,151000,21000,76000,萌系治愈少儿,9.8,1973,已完结, 全98话,1,730,简介：《花园宝宝》(英文名：In The Night Garden) 是WildBrain出品的一档定位在1至4岁孩子的电视节目。由天线宝宝原班团队倾力打造，制作人安·伍德Ann Wood再度如天线宝宝一般，在英国开辟出一片美丽的花园，呈现园中精心设计的人偶及极富想象力的动画效果。幼儿观众很容易就会被色彩鲜艳的花园、逼真的动画，和逗趣的人物所吸引。 与一般低幼儿童节目不同，《花园宝宝》并不注重要教幼儿什么东西，而是给1至4岁的小孩一段好奇探索的欢乐时光。,
回顾：《蓝色星球》,221000,439,10000,213,2349,自然,暂无评分,评分人数不足,已完结, 全2集,0,2,简介：回顾：《蓝色星球》系列将分为两部分，探索澳大利亚大堡礁和巴哈马群岛这两个关键地区的生态系统和野生动物所面临的特殊挑战。随着繁殖季节的到来，本系列聚焦于鲸鱼和它们的幼崽、海龟和幼崽以及最了解海洋的科学家们的行动。这部剧充满了洞察力和奇观景象——哈马群岛令人难以置信的鲨鱼潜水以及大堡礁的水下黎明“合唱团”，这里是600种不同珊瑚和1500多种鱼类的家园。,
请吃红小豆吧！第0.5季,10852000,23000,2451000,57000,325000,原创日常萌系泡面,9.7,1314,已完结, 全16话,0,323,简介：红小豆是一颗梦想着被吃掉的红豆，日常是在甜品里上班，在翘班的那些日子里，红小豆遇到了一些“奇奇怪怪”的朋友，才发现原来食物的悲欢并不相通。,
我家的两岸故事,7610,2,135,18,74,人文,暂无评分,评分人数不足,连载中,0,0,简介：系列短纪录片《我家的两岸故事》以在大陆工作、生活的闽籍台胞为主要人物，从凝聚两岸情感和时空记忆的细微处入手，追忆祖辈过往，记录家风传承，牵动两岸情缘，在展开人物故事的同时观照时代，通过平凡而又具有代表性的个体展现闽台历史文化的切面，描绘“小家连大家，两岸一家亲”的动人画卷。,
本·福格：重返野外 第2季,858000,329,2392,402,6314,探险,暂无评分,评分人数不足,连载中, 每周二 18:30更新,0,8,简介：五湖四海，世界很大，有很多人都拥有寻梦的激情，为此可以踏足天涯海角。本·弗格尔将在旅途中寻找那些特立独行的人们，感受他们为梦想作出的努力；感受另一种拥抱自然的方式；感受另一种朝九晚五的生活。,
奶奶的一月,14000,9,147,29,124,纪实家庭短片,暂无评分,评分人数不足,30,0,1,简介：2020年的春节，我回到了老家，同奶奶、家人们一起展开了一场寻根之旅。,
生理酱,66000,316,1676,128,5775,剧情,暂无评分,评分人数不足,75,0,9,简介：该片将生理期的各种生理痛拟人化。描绘了在杂志编辑部上班的米田青子忍受生理期痛苦的同时，面对工作和恋爱的故事。,
黑衣人,2267000,7886,58000,2452,14000,喜剧动作科幻,9.7,677,98,0,95,简介：地球并不只是人类的天下，其实有1500名外星人生活中我们当中，而星际移民局则处理和外星人相关的事情。纽约普通警察爱德华兹因缘际会之下加入了这一组织，成为MIB的一员，代号J，从此没有名字、没有身份，成为特警K的搭档。J应对的第一起事件就是…,
黑衣人2,1681000,4335,58000,1403,10000,喜剧动作科幻,9.5,371,88,0,35,简介：故事发生在第一部的四年之后，此时特警K已经退休，成为一名普通的邮局局长，而J则继续从事MIB的工作。卡洛瑟星邪恶女王蛇莲娜来到地球需找宇宙能量“萨塔之星”，占领了MIB的总部。而当年逃亡到地球的萨塔公主萝娜曾请求MIB把“萨塔之星”藏在地球…,
黑衣人3,2194000,5575,58000,3412,11000,喜剧动作科幻,9.7,575,106,0,85,简介：月球最高监狱，穷凶极恶的伯格罗多星人鲍里斯越狱逃亡。他在1969年犯下邪恶罪行，最终被年轻的K砍掉一只手臂，送入监狱。此次他逃脱的目的，就是穿越时空杀死K。与此同时，J和K一如既往处理各种外星人引起的混乱，因对鲍里斯的案件三缄其口，两个好搭…,
危,236000,267,1415,70,2248,爱情剧情,暂无评分,评分人数不足,7,0,32,简介：每天喝咖啡会厌，更何况每天听重复的话。 让我陪着你，哪怕以AI之名。 最高尚的爱情，不是天地合而与君不绝的山盟海誓，而是跨越阻隔，双向奔赴，哪怕以AI之名。,
中国正在说2022,240000,24,4874,417,2725,人文社会,暂无评分,评分人数不足,连载中,0,6,简介：东南卫视大型政论节目《中国正在说》以“讲好中国故事 发出中国声音”为定位，以面向世界宣传“四个自信”为主旨，以电视公开课为主要形式，通过“主持人串场+嘉宾演讲+观众互动”的方式，生动阐释了中国特色社会主义的理论和实践。,
小羊驼拉玛,283000,13,900,68,372,少儿,暂无评分,评分人数不足,已完结, 全50话,0,1,简介：《小羊驼拉玛》是在爱尔兰政府的支持下，由爱尔兰电影产业投资制作。该片根据安娜·杜德尼的《小羊驼拉玛》系列图书改编，由美国著名演员詹妮弗·加纳为拉玛妈妈配音，讲述了小羊驼们每天在羊驼妈妈的关爱下成长的故事。,
于洛先生的假期,46000,593,4792,211,3444,喜剧,暂无评分,评分人数不足,89,0,12,简介：性格怪癖的老实人于洛来到不列塔尼半岛的海滨小城度假，但他把那儿弄得一团糟，因为不管他要干什么，事情迟早会走样……,
汪汪队立大功 第一季,5761000,350,62000,2734,4681,少儿,8.1,124,已完结, 全23话,0,37,简介：《汪汪队立大功》是一部学龄前系列动画片，汪汪队由六只英雄狗狗组成：阿奇、毛毛、灰灰、路马、小砾、和天天，他们的主人莱德，是一位10岁的科技小天才。这些英勇的狗狗相信“世上无难事，只怕有心人”，他们一起执行任务，维护社区安全。,
