电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
别逼我结婚,370000,11000,1566,1424,522,情感,暂无评分,评分人数不足,已完结, 全34集,0,3,简介：某日，东海风（朱雨辰 饰）在表哥金海涛（佟悦 饰）的婚礼上结识了新娘黄上上（高露 饰）的好友何小河（车晓 饰），两人不打不相识。东海风奉父母之命同边凤梅（崔波 饰）交往，两人原来准备携手步入婚礼的殿堂，然而，东海风在工作上一直不顺利，嫌贫爱富的边凤梅转而投向了富豪江德才（程雍 饰）的怀抱。何小河在民政局工作，成日里眼里看见的都是不幸的婚姻和夫妻之间的分分合合，对爱情和家庭早就失去了信心，颇有些自暴自弃随波逐流的意味。东海风察觉到了何小河的消沉和放弃，不离不弃的守候在她的身边，给予支持和鼓励，最终赢得了美人心。,
太阳花,11000,--,59,--,9,剧情,暂无评分,评分人数不足,已完结, 全23集,0,0,简介：“女性三部曲”《绿箩花》的姊妹篇《太阳花》，第三部《红草莓》。《太阳花》将目光锁定中年女性群体，话题落在面对坎坷人生，这些成熟女性将如何面对，剧中主要塑造两个女性形象，一个是温柔传统的普通女人赵佳蕙，一个是冷漠孤傲的知识女性李若寒。,
天字一号,386000,2298,2022,1161,527,谍战,暂无评分,评分人数不足,已完结, 全28集,0,4,简介：在抗日战争和国共内战相继落下帷幕之后，中华人民共和国终于在多灾多难的华夏大地上建立起来。但是伴随着歌舞升平的和平表象，国共两党暗流下的斗争仍在继续。不甘失败的国民党在新中国的首都北京部署了“天字一号”的破坏计划，该消息通过我党潜伏在地方情报机关的卧底“中华一号”传回，谁知我党201情报处的敌方卧底“蝎子”也将该消息传到台湾。双方卧底的事实昭然若揭，国民党情报机关头目陶然和我方的负责人纷纷派出人马指向了香港的情报人员。看不见硝烟的较量在港府接连上演，不知不觉间，千百万人的命运被他们所改变……,
血雨母子情,411000,1122,815,606,360,战争,暂无评分,评分人数不足,已完结, 全35集,0,2,简介：1927年，武汉。第一次国共合作破裂，反动军警布下天罗地网搜索一个身藏秘密线索的六岁男孩——金宝。餐厅女招待宁广冬经过艰难抉择，冒险收养了这个共产党人的遗孤。为保护金宝，她屡次陷入绝境，依靠不屈的意志，在恋人共产党人肖勃及小白龙的帮助下化险为夷，并协助肖勃摸清了金宝身上隐藏的线索，揭开了日本人侵华的惊天阴谋。宁广冬含辛茹苦抚养金宝。抗战胜利后，金宝加入国民党，宁广冬因一桩凶杀案成为国民党实施政治阴谋的替罪羊。负责审判她的正是金宝。经肖勃缜密的调查取证，金宝认清国民党假和谈真内战的嘴脸，与母亲团圆，走向了...,
爱你那天正下雨,60000,3018,424,579,398,情感都市,暂无评分,评分人数不足,已完结, 全23集,0,1,简介：成功的企业家艾橘上在孩童时，机缘巧合地亲眼看到妹妹和母亲相继死亡，便误会是他爸爸宁信之和秘书黎恩一手造成。由于年幼无知，轻信谎言，离家出走。多年后的他，一直念念不忘要为母亲和妹妹讨回公道。,
陪读,8135,3,101,9,12,励志,暂无评分,评分人数不足,已完结, 全26集,0,0,简介：韦家宏(丁勇岱饰)和赵红英(伍宇娟饰)夫妇，为了让女儿韦小玉顺利考上理想的大学，不惜辞去优越的工作住进陪读大院，成为众多陪读家长中的一员。赵红英是一个外表泼辣心地善良的中年妇女，她素质不高，“中年危机”令她有些神经过敏。这天，陪读大院又来了一位单亲妈妈阿琼(陶慧敏饰)，她也是来给儿子吴小山当陪读妈妈的。没想到的是，她居然是韦家宏二十年前的旧情人。,
阳光代表,403000,9410,2019,218,786,都市,暂无评分,评分人数不足,已完结, 全20集,0,9,简介：南高县一把手的位置空半年了，上上下下都以为这把交椅非副县长刘超莫属，刘超自己也做好了大展宏图的思想准备，可忽然间从上边派来一个吴书田，人们都觉得此人来头不小。其实硕士研究生吴书田没什么背景，不过是在面对社会公开选拨公务员时考入省委机关，因不谙机关世事，同领导意见相左，被贬了下来。,
谁与争锋,107000,753,564,236,168,刑侦悬疑剧情,暂无评分,评分人数不足,已完结, 全23集,0,1,简介：这是一部具有相当强警示意义的刑侦片，细腻真实地再现了发生在我们现实生活中一个个罕见的凶杀案件。全剧每集讲述一个故事，每集一个案例，且每一个案例的切入角度不同，有因婚外恋引起的凶杀，有因生意场里纠纷而起的灭口，有发生在宾馆里的令人触目的血案……发生在普通生活中的杀戮事件如此令人心惊，也含蓄地道出了潜伏在这些杀人案件背后的一些社会根源。,
缘分的天空,234000,645,1169,149,1439,,9.5,110,已完结, 全26集,0,74,简介：36岁的谢雨婷是一名成功的外科医生，她和8岁的儿子童童正焦急地等待着出国留学四年的丈夫林可为的归来；她的同事，另一名年纪稍长的外科大夫彭淑云则陷入丈夫外遇的漩涡之中。彭淑云的丈夫李耀辉是银龙房产公司的老板，他和私人助理、风姿绰约的少妇白岚早已暗渡陈仓……,
群英会,115000,5050,1311,1694,411,情感都市,暂无评分,评分人数不足,已完结, 全30集,0,6,简介：美院女教师宁馨放弃了教师工作，接手了母亲生前经营的、赤字累累的康乐中心。为了扭转局面，她开办了在年青人中流行的跆拳道班。但因康乐中心硬件过于残旧，令人却步。与她爱情长跑多年的男友李礼康迫于母亲的压力发起一次次不成功的爱情攻势，更让宁馨头痛的是，她的身边突然出现了一个素未谋面的哥哥宁天，他最大的爱好就是钻研世界各种类型的功夫。为了帮助宁馨度过经济困境，李礼康去找宁馨的好友陈圆圆，把自己多年的积蓄以圆圆的名义借给宁馨。宁天与陈圆圆无意间邂逅，博得了圆圆的好感，但圆圆的妹妹，跆拳道班学员彤彤(武莉饰)却不喜...,
暗伤,40000,657,416,221,300,刑侦,暂无评分,评分人数不足,已完结, 全31集,0,1,简介：民三年来，龙在天——这个游走在法律边缘的神秘客，已经成为石坊市的传奇人物。如今，通过叶蓓主持的电台节目《有钱没钱》，他再次预告了他的行动——替一百名打工者讨回薪资。行动上、精神上已然成为龙在天的影子的郑前方听到这个消息之后，立即准备行动，前去追捕这个在他的精神上制造难以弥补的创伤的神秘客，可是他依然没有成功。三年来，在他因为喝酒而离开刑警队之后，也依然坚持以个人身份去追查龙在天，但是，除了一只军靴，他连龙在天的影子都没有看到过。百万人口的石坊市，纷纷扰扰的人群中，到底谁是龙在天呢？,
