电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,,,,,,,,,,,,,
铁头皇帝,42000,209,629,25,159,剧情历史,暂无评分,评分人数不足,95,0,1,简介：春秋战国时代楚庄王之后产下双胞胎，长子熊建及次子熊伟（同为申荣均饰演）。后因贼兵作反，战乱中兄弟失散。十数年后，熊建学得一身武艺。熊伟继皇位，荒淫无度，欲娶邻国公主（李菁）作为政治婚姻。偶然机会，兄弟重遇，熊伟恐兄长争帝位，加上两人长相一样，命人打造一铁头面具，套入熊建头上……,,,,,,,,,,,,,
鬼马飞人,90000,856,2775,154,782,喜剧爱情奇幻,暂无评分,评分人数不足,94,0,12,简介：英才中学的老师们都不是一般人物，张老师（钟楚红 饰）化名卫斯我，业余时间写作科幻色彩的英雄小说。校队教练石常飞（钟镇涛 饰）暗恋张老师，苦于没有打开局面的机会。化学老师朱育乾（郑则仕 饰）痴迷制作药品，妄想开发出变帅的药物令同校的马老师（夏文汐 饰）属意自己。朱育乾的助手——29岁的大龄中学生刘班（王晶 饰）喜欢同学嘟嘟（李丽珍 饰），可无奈自己这一款并非对方中意。刘班在帮助朱育乾制作药物时盲打误撞调制出一批超人药，朱育乾吃下后变身兽人，而石常飞吃下后却拥有了神力与特异功能，石常飞化身超人打抱不平，更多次搭...,,,,,,,,,,,,,
哈尔姆斯,11000,2,825,23,57,传记,暂无评分,评分人数不足,95,0,2,简介：影片讲述了前苏联文学家丹尼尔·伊万诺维奇·哈尔姆斯，这位荒诞戏剧大师的一生。这部人物传记类影片将视线聚焦在哈尔姆斯的超现实主义作品上。 音乐与寂静，创作与匮乏，沉思与诙谐…… 年轻的纨绔子弟丹尼尔·伊万诺维奇，用英文单词“charms”和“harm”之间的谐音关联为自己取了笔名哈尔姆斯。他沉迷于文学界聚会，热衷于流言蜚语。他生活在社会中，却又与之完全隔离。他试图脱下时代的枷锁，却将自己深深陷入了现实的漩涡中。他的精神世界清晰而又模糊，充满了矛盾的对立面。 哈尔姆斯自视为一个天才，但却没有出版商愿意出版他的书籍，而他...,,,,,,,,,,,,,
草原上的男孩,6822,27,483,14,42,动作家庭,暂无评分,评分人数不足,85,0,0,简介：玛泰米诺露华丝受业于华意达，是波兰经验丰富的纪录片导演，得奖无数，这次深入蒙古漫天冰雪的高原拍游牧家庭，与其说跨界染指剧情长片，倒不如说她看到严峻大自然天气变化下的生命状态，提供真的假不了的人生舞台，展现生存、生产，和生长的真实质地。11 岁的Sukhbat 正从襁褓童年过渡往承担家庭责任的阶段，帮手牧畜之余，父亲要他努力练骑马，一路唱歌一路放胆跑，代表家族参加比赛。镜头很远彰显人在天地间的渺小，又很近捕捉童真面容及毅力的目光。,,,,,,,,,,,,,
都在酒里,1585000,11000,278000,24000,19000,美食社会,9.9,3104,已完结, 全6集,3,1015,简介：机核GSENSE带来全新系列纪录片《都在酒里》，这次我们拉来机核的老朋友老张，开启一场走遍世界的特别精酿啤酒之旅，与他同行的则是爱吃爱喝的Moby和西蒙。精酿啤酒这个概念火了很久，但其中有什么门道和值得一提的魅力？这部纪录片就会告诉你！,,,,,,,,,,,,
喜剧之心,7177,7,401,13,33,喜剧,暂无评分,评分人数不足,109,0,1,简介：导演杨获得了电影学院的电影拍摄资金，他需要拍摄一部电影交差。在伦敦和朋友观看戏剧《海上夫人》，半梦半醒间他萌生了将戏剧改拍成电影交差的想法。随后他了解到这个戏剧团因为缺少观众即将解散。他盛情邀请戏剧团和他一起将他们表演的易卜生戏剧《海上夫人》拍成电影版。一拍即合的嗜睡的导演带着8名英国演员来到挪威北极圈来进行拍摄，很快就为这里超现实的环境和无尽的白昼所倾倒。但同时，这种环境也放大了演员间的紧张情绪，影响了他们的个人生活和影片的拍摄。只是想应付了事的导演将大权放给了戏剧团队而自己终日呼呼大睡，但演员们对...,,,,,,,,,,,,,
索拉一家,7500,30,423,26,43,家庭,暂无评分,评分人数不足,89,0,2,简介：圣诞夜，索拉家兄妹在时隔两年之后，请自己的父亲一起来过圣诞节，两人本想借此修复与父亲之间僵硬的家庭关系。让儿子帕维尔意想不到的是，父亲还将带女友来，父亲的女友曾是他的前女友。老父亲坐着轮椅来了，虽然如此，他依然是那个毒舌强悍的父亲。两父子见面就往日矛盾重提，女儿好意缓解气氛，父女俩都有消息要分享，女儿告诉父亲她怀孕了，为了养孩子，想提前预支遗产。父亲一下子怒火中烧，认为女儿自己还是个需要料理自己的人，自己都照顾不好如何照顾一个孩子？况且孩子的父亲还下路不明。而父亲带来的消息是，他癌症晚期，即将面临死...,,,,,,,,,,,,,
冰冻星球：史诗之旅,528000,5202,52000,2133,5614,自然动物,9.9,192,已完结，共1集,0,66,简介：这个精彩的一小时特别节目带来了备受赞誉的《冰冻星球》系列中的亮点，带领观众领略整个极地年中的壮观景象——从最冷的寒冬到融化的极地夏季。在南极，春季随着雄性阿德利企鹅的活动开启。这种企鹅十分滑稽，喜欢偷石头。夏季，雌性企鹅回归，企鹅父母要赶在秋季的大冰冻来临之前抚育幼崽。在北极，小小的北极熊在雪下开始了它们的生活，此时，雄性北极熊面临着地球上最严酷的冬季。脚下的冰在融化，3只幼崽能否生存下来？我们将在令人震撼的极地景观中呈现这些故事以及《冰冻星球》其它角色令人难忘的瞬间。,,,,,,,,,,,,,
十万火急,285000,5036,8373,717,7514,动作惊悚,9.5,185,104,0,50,简介：消防队长云（刘青云饰）是个刻己尽责的救火队员，每当意外发生，他都要和队员赶到火场。新调来的上司（方中信饰）决心以严谨纪律重整阵容，他的苛刻要求招致一众消防员的不满。但在生活上，他们各自并不如意。上司重遇前妻，形同陌路。一心为事业的女见习队长（黄卓菱饰）也与丈夫貌合神离。云在一次现场抢救过程中，搭救了Carmen（李若彤饰）。面对那场突然爆发的灾难性的五级大火，对消防员自身构成危险，所有人必须离开火场，火场內藏有大量危险品及引致大爆炸，並且释放出大量有毒气体，而火场內仍有生还者待救。身处生死边缘的消防队员们...,,,,,,,,,,,,,
绝杀,34000,263,1008,13,75,悬疑,暂无评分,评分人数不足,115,0,4,简介：安托万?勒孔特是一位电视台的高管，对上阿谀奉承，对下尖酸刻薄。对董事会瞒报哄骗，对同事和下属打压恐吓，是不折不扣的混蛋。妻子索朗热温柔贤淑对他无微不至，但是他却外遇不断，甚至以工作为筹码与同事发生不正当关系。终于安托万的所作所为引起了公司员工的不满，一位被他无端开除的员工，闯进办公室枪击了他。当安托万从医院醒来的时候，一切都大变样了。妻子索朗热和枪击他的人在一起出双入对，自己也从公司高管变成了普通的天气预报员。在公司中的领导地位不在，让他受尽了屈辱，索朗热的不理不睬也让他百思不得其解。走投无路的他被...,,,,,,,,,,,,,
