电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,,,,,,
如果历史是一群喵 第七季,14838000,52000,3046000,53000,220000,萌系历史,9.5,1425,已完结, 全12话,8,257,简介：《如果历史是一群喵》是一部以华夏历史为主线的非严谨萌系动画，作品以风趣幽默的语言对历史事件进行了重新解读，更容易为年轻人记忆和接受。在表达上，作品用现代动画的手法塑造了12只体态丰盈、造型可爱的猫咪，用它们把历史事件演绎成了精彩的历史故事。该剧不但响应了中央关于“弘扬中华优秀传统文化”的号召，还是文化创新和“寓教于乐”的一次新探索和尝试。,,,,,
红色江山之黃麻烽火,141000,117,5249,1024,15000,热血励志,暂无评分,评分人数不足,已完结, 全13话,无,无,简介：1927年11月初黄麻起义前夕，5名少年自卫军战士被临时编成一支侦查小分队，由起义策源地黄安七里坪提前潜入县城，配合起义军突击队顺利攻占县城,并在随后保卫县城的战斗中屡立战功。但由于敌我力量相差悬殊，起义军在坚守半个月后不得不放弃黄安城，小分队随主力转移到黄陂县木兰山一带开展游击活动。1928年1月起义军在木兰山被改编为中国工农革命军第七军，采取机动灵活的游击战术取得了一连串的胜利,并于7月正式改编为中国工农红军第十一军第三十一师。至1929年5月，红三十一师已初步建成了以柴山保为中心，纵横一百余公里的鄂豫边苏区。经过...,,,
法证科学（僅限台湾地區）,173,--,115,--,94,社会罪案科技,暂无评分,评分人数不足,连载中,0,0,简介：本片旨在向观众展示法医学是如何帮助破获各类犯罪案件的，通过在法医研究所、大学实验室、研究中心的最新科研成果，科学专家们发现了如何判定犯罪者的重要信息。随着法医学技术的不断革新，他们也成为了打击“完美犯罪”的真正英雄。,,,,,,
鲁邦三世 第六季,8369000,30000,986000,38000,188000,漫画改搞笑智斗,9.4,2338,已完结, 全24话,9,472,简介：此次故事的舞台在伦敦。鲁邦这次的目标是一幅画，上面有着暗中操控英国政府的神秘组织·渡鸦所暗藏的宝藏的线索。面前的阻碍是苏格兰场、军情六处。还有察觉到鲁邦行动而出现的钱形警官。而鲁邦面前的那位侦探——竟然是夏洛克·福尔摩斯！,,,,,
新飞天小女警 第一季,11785000,36000,173000,12000,59000,少儿,9.8,1327,连载中,2,373,简介：宁静的小镇村住着一位神秘的尤教授，他通过科学实验，使用糖、香料和各种美好的东西，外加神秘的黑色化学物质“X”创造出了三个拥有超级力量的完美女孩，她们的名字分别是：泡泡、毛毛和花花。泡泡的性格在三人之中最为天真开朗，毛毛的性格在三人之中较为暴躁易怒，花花则是天生的领袖和代言人，她们三个人互相帮助，补足对方的不足，组成了以惩奸除恶为终极使命的“飞天小女警”组合。在小镇村内设有专线供村民们呼叫飞天小女警前往帮助他们，小女警们的首要任务就是与各方反派势力斗智斗勇。三位超能小女警需要在小镇需要她们的时候出动，打...,,,,,,
新飞天小女警 第二季,13726000,19000,173000,6124,36000,少儿,9.8,533,连载中,2,131,简介：宁静的小镇村住着一位神秘的尤教授，他通过科学实验创造出了三个拥有超级力量的完美女孩，她们的名字分别是：泡泡、毛毛和花花。泡泡的性格在三人之中最为天真开朗，毛毛的性格在三人之中较为暴躁易怒，花花则是天生的领袖和代言人，她们三个人互相帮助，补足对方的不足，组成了以惩奸除恶为终极使命的“飞天小女警”组合。在小镇村内设有专线供村民们呼叫飞天小女警前往帮助他们，小女警们的首要任务就是与各方反派势力斗智斗勇。三位超能小女警需要在小镇需要她们的时候出动，打击罪犯，用自己无与伦比的“女孩力量”守护家园和身边的小镇居...,,,,,,
新飞天小女警 第三季,1894000,5406,173000,1337,9908,少儿,9.5,133,已完结, 全40话,0,45,简介：宁静的小镇村住着一位神秘的尤教授，他通过科学实验创造出了三个拥有超级力量的完美女孩，她们的名字分别是：泡泡、毛毛和花花。泡泡的性格在三人之中最为天真开朗，毛毛的性格在三人之中较为暴躁易怒，花花则是天生的领袖和代言人，她们三个人互相帮助，补足对方的不足，组成了以惩奸除恶为终极使命的“飞天小女警”组合。在小镇村内设有专线供村民们呼叫飞天小女警前往帮助他们，小女警们的首要任务就是与各方反派势力斗智斗勇。三位超能小女警需要在小镇需要她们的时候出动，打击罪犯，用自己无与伦比的“女孩力量”守护家园和身边的小镇居...,,,,,
天劫余生,396000,3021,19000,713,7976,剧情动作冒险灾难,9.5,150,126,0,45,简介：1972年10月13日，赴智利比赛的一支乌拉圭橄榄球队所搭乘的飞机在安第斯山脉失事。生还的二十多位幸存者面对冰天雪地的生存环境，竭尽全力地以求能活着走出这座荒无人烟的死亡之地。在经历了满心希望的等待着救援队伍无果之后，绝望地他们只能面对着残酷的事实，赖以维生的食物日渐减少，海拔气候寒冷严苛，遭遇好几次雪崩以及内心对死亡充满的巨大恐惧。在激烈的讨论和内心挣扎后，他们开始尝试一些不可能做到的事情，分食死尸。终于，在飞机坠毁五十多天以后，天气渐渐转暖，救援队终于找到了他们。活下来的十六个人终于走出了这块死亡之地，...,,,,,,
新年前夜,46000,269,2011,89,3637,喜剧爱情,暂无评分,评分人数不足,118,0,6,简介：随着璀璨的太阳落下，新年前夜的幕布缓缓铺开，在这本该充满着希望与温馨的一夜里，却仍有一群人各自身陷烦恼。时代广场表演秀主持人摩根正在紧张地做最后排演；朵伊正在与非要和男友过除夕的女儿海莉闹别扭；漫画家兰迪（还沉浸在被前女友甩了的懊恼中，除夕只会让他更烦躁；而可怜的哈里斯已经到了癌症晚期，只希望看最后一次时代广场的新年落球仪式……他们和众多被生活困扰的纽约人一样，在自己的小位置上忙碌，却来不及睁开眼睛看看，新年的恩泽已悄悄降临……,,,,,,
世界顶尖的暗杀者,转生为异世界贵族,150000000,965000,4926000,932000,2149000,小说改穿越战斗,9.2,77239,已完结, 全12话,250,23110,简介：世界第一的暗杀者，作为暗杀世家的长男重生了。作为能够转生到异世界的条件，他接下了女神给下达的唯一一项任务。“杀了被预言会带给人类灾厄的‘勇者’”。这是曾经世界最强暗杀者在新的人生中必须要完成的使命。在现代曾让万般暗杀方式变得可行的广泛知识及经验，还有暗杀者家族被誉为异世界最强的秘术与魔法。一切都相辅相成，使他逐步成为史上无人能及的暗杀者——“有意思，真没想到转生后还要继续从事暗杀工作啊”得以转生的“传说中的暗杀者”向更高境界进发！突破极限的冒险幻想谭，现在开幕！！,,,,
迷宫标记者,7814000,35000,561000,24000,132000,原创科幻冒险,5.7,6766,已完结, 全12话,58,1712,简介：在遥远的未来。人类瑟缩在被岩层包围的“圈落”内艰难度日。圈落外面，是一片广阔而危险的未知领域“迷宫”。而那些冒着生命危险开拓“迷宫”、在未知中留下已知烙印的人们，则被称作“标记人”。想成为标记人的少女·梅梅普与想改行不做标记人的男子·刚刚爸。这对风格迥异的父女即将向迷宫发起挑战！“既然没有路，那就自己动手挖出一条！”,,,,,
男孩遇见女孩,5439000,7404,493000,13000,124000,原创奇幻泡面,9.4,2657,已完结, 全12话,3,978,简介：夏天、冲绳。一个夏天里不得了的邂逅。冲绳的高中一年级学生·比嘉舞星，在暑假时给家里的旅馆帮忙做前台服务员，悠闲地度过这个暑假。某一天，来了一位从东京来的客人住在了他们的旅馆里。这个看起来别有隐情的客人的名字是，铃木一郎（？）铃木来了之后，旅馆中不断发生着奇怪的事情……在房间里游来游去的鱼儿们，穿破旅馆天花板的巨大榕树。在二人之间这些突如其来的奇妙事件究竟是——？,,,,,
半妖的夜叉姬 第二季,13423000,79000,3636000,23000,181000,原创奇幻战斗,5.7,3097,已完结, 全24话,19,929,简介：获得了新的力量的女儿们的逆袭——夜叉姬的使命，即将揭晓！,,,,,
大正少女御伽话,7694000,101000,656000,84000,162000,漫画改恋爱历史少女,9.2,8898,已完结, 全12话,40,2841,简介：时值日本大正时期，出生在有钱人家衣食无忧的志磨珠彦，遭遇重大事故后失去了右手、父亲的期待，还有母亲。随后以养病的名义被遣送到乡下，不知不觉成了讨厌世间一切的厌世家。此时一个叫夕月的少女来到了他的身边，她是父亲为了照顾珠彦而安排的妻子。起初珠彦对夕月感到很厌烦，但渐渐对那个笑容和温柔敞开心扉——。两人到底能不能成为真正的夫妻?大正怀旧爱情故事开演!,,,,,
结城友奈是勇者 第三季 / 大满开之章,6617000,35000,1021000,49000,132000,原创战斗魔法,9.8,4643,已完结, 全12话,39,1422,简介：这是一段，关于曾经、关于未来的故事。,,,,,
创之界限,11151000,35000,854000,24000,147000,原创战斗奇幻,8.2,1766,连载中, 每周三 20:00更新,8,529,简介：『我可以看到，我胜利的道路……』『这次一定可以打败那个家伙。所以，再一次……接收！灵魂赌徒 布鲁姆！』在王的统治之下，一切的优劣都有TCG「创之界限」的力量来决定的都市，「新京都」。,,,,,
我叫MT：归来,12237000,90000,493000,317000,398000,热血战斗搞笑,9.8,5223,已完结, 全10话,14,1529,简介：《我叫MT：归来》是由椰子传奇2021年出品的国产原创3D动画，由核桃导演带领原班人马倾情打造。该系列动画以热血爆笑的风格，紧凑精彩的剧情，同时不失温馨感人的画面，使其备受国内动漫游戏爱好者推崇。,,,,,
正邪 动态漫,14336000,38000,188000,52000,124000,动态漫热血奇幻搞笑,9.3,1353,连载中, 每周五 12:00更新,2,376,简介：讲述了正道门的弟子阿爽因为在煞气弥漫的夜晚没有守住百年封印，引来了巨大的祸患，期间遇到了叫念云的姑娘且被其认做了叫云游的熟人，得知自己竟与云游长相一模一样，随之时间推移逐渐发现自己身上有着许多谜团，为了和同伴能过上平凡的日子，阿爽踏上了弥补过错和寻找自我的故事！,,,,,
速成家庭,108000,2107,7323,496,4309,剧情喜剧,9.4,161,118,0,40,简介：皮特和爱丽结婚多年，夫妻两人之间的感情一直十分要好，只是这么多年来，他们都没有孩子，不过对于两人来说，这并不是什么着急的事情。一场意外让两夫妻的观念开始产生了改变，他们开始渴望一个爱情的结晶，年纪已经不再年轻的他们选择了走了领养这条路。,,,,,,
中国民居,1352000,5505,60000,7026,14000,人文历史,9.7,357,已完结, 全9集,2,92,简介：何以为家，何以为根。我们从何而来，终将回到何处。今天，我们手握通往未来的钥匙。正如过去，累积成了我们当下的样子。而承载着中华传统生活的老房子，能够很好地回答这一切。我们必须跑在坍塌与遗忘之前，去倾听一遍中国老房子的心里话。《中国民居》是国内首档以中国传统民居生态为主题，呈现传统民居建筑和居住生活的人文记录片。本片联合国内多位顶级建筑师、设计师，深入到中国各处特色村落，以设计者的视觉结合中国设计知识，描绘中国传统民居建筑设计之美。同时，通过实地体验和互动交流，发掘一个个民居生活者的生活故事。,,,,,
四色战记 / RWBY 第一季,3409000,8772,1166000,14000,45000,战斗奇幻,9.8,2302,已完结, 全16话,7,687,简介：RWBY背景设定在类现代但是充满着超自然力量的世界。主要人物为四个拥有各自的特殊能力及武器的女孩，她们因各种原因聚在一起组成团队并接受训练，以对抗怪物、恶棍或其他类似的团体。 在这系列之前，人类为了生存，发起了对黑暗戮兽（Grimm）的战争，直到他们发现“尘晶”（Dust）可以被用作魔力来源，这让人类得以对抗它们，并建立了文明世界。,,,,,
狭路英豪,313000,2721,12000,490,7423,剧情喜剧动作,暂无评分,评分人数不足,89,1,15,简介：雷小宝和妹妹雷小健是情同手足的兄妹，两人相依为命，感情十分要好。小宝是一名刑警，近日来，一宗犯罪金额高达两千万元的诈骗案让小宝陷入了僵局之中，他所缉拿的罪犯陈子良，竟然正是小健的男友。雷小宝抓到了陈子良，但后者坚称自己是清白的，种种迹象和证据亦让雷小宝开始相信，陈子良是遭到了奸人所害。,,,,,,
神奇的老字号,13661000,11000,50000,19000,347000,人文历史神秘社会,9,235,已完结, 全8集,0,76,简介：《神奇的老字号》纪录片由天猫出品，共计8集，每集时长30分钟，以周更上线。纪录片以京杭大运河为主线，以7省市（浙江、上海、江苏、安徽、山东、天津、北京）为载体，覆盖30个老字号品牌，从人文故事、品牌工艺、地域文化等不同角度阐释老字号生生不息的“神奇”传承和创新，通过这份厚重的历史挖掘中华商业文化的根本，引发年轻人对于当代生活的思考。,,,,,
恶魔蛙男,678000,5422,16000,481,7507,剧情犯罪惊悚漫画改,4.8,281,132,0,55,简介：大雨瓢泼的都市，邪恶欲望肆意横行。不经意间残忍而血腥的猎奇案件接连发生，有的人被饿犬撕咬而死，有的人被割掉和出生时同样重量的肉而死掉，有的被平均切成两半分送给妻子与情人，有的则被冻在冰柜中永葆不老的青春，更有人嘴里被塞满了大大小小的钉子。,,,,,,
迷途英雄,144000,826,6613,290,5737,剧情喜剧,暂无评分,评分人数不足,89,0,17,简介：九一八事变后，东北沦陷，天津某剧社演员陈彼得不甘当亡国奴，立誓要做民族英雄。一日，正当剧院上演爱国题材话剧时，男一号罢演，救场如救火，导演只好让陈彼得顶替，结果大获成功，台下看演出的宋将军对陈的表演大加赞赏。,,,,,,
要钱不要命,244000,1821,8406,600,5838,剧情犯罪传记,9.2,165,116,2,31,简介：该片取材于美国乐坛的常青树50Cent的成长故事，从小在街头讨生活的50Cent怎么也想不到自己会有功成名就的今天。故事讲述一个热爱音乐的毒品贩子如何脱离乌烟瘴气的黑社会，在乐坛打拼的经历。,,,,,,
三女休夫,207000,1654,4398,193,5190,喜剧奇幻,暂无评分,评分人数不足,89,0,23,简介：故事发生在明朝某年。阙里侯是个富家少爷，整日沾花惹草、为非作歹。这日，他正调戏一名美貌孕妇，被路遇的张果老救下。张媒婆贪恋阙家银两，把邹家小姐说给阙少爷，正当阙里侯內心正美时，他头上突然长出了两支长长的驴耳，吓坏了邹小姐。,,,,,,
人物杂志犯罪调查 第四季,363000,1649,68000,520,13000,社会罪案,暂无评分,评分人数不足,已完结, 全12集,0,6,简介：调查发现与《人物》杂志合作，重新调查近年来一些最引人注目的犯罪案件。这个系列节目带给观众的是背叛、秘密和无名英雄的故事，这些故事是从美国顶级周刊上撕下来的。这些故事超越了新闻，成为流行文化的一部分，揭示了令人震惊的转折、新证据和意想不到的解决方案。每一集都穿插着对《人物》记者的独家采访、档案镜头、重现以及最接近调查的人的第一手报道。,,,,,
邪恶的信号,1035000,1827,15000,658,11000,社会罪案,暂无评分,评分人数不足,已完结, 全8集,0,6,简介：每一个变态杀人狂都有迹象。你会看到他们吗？重温一些现代史上最危险的杀手，看看他们表现出哪些精神变态的特征。以真实的档案片段为特色。,,,,,
朤月东方—中秋梦幻,687000,2808,6434,7629,26000,音乐,暂无评分,评分人数不足,已完结, 全1集,0,15,简介：东方卫视《朤月东方--中秋梦幻夜》全新赋能“海派国潮”这一主题，打造“先锋”的潮流和“复古”的底蕴相互融合的“中国制造”。晚会以创新沉浸式体验手段贯穿全场，选择传统地标与当代城市建筑，通过实景拍摄结合新科技虚拟手段，带领观众穿梭于情景交融的古今长卷，展现一副生动形象，妙趣横生的中秋民间生活画轴。,,,,,
时代少年团2021火力全开演唱会,180000000,5668000,1409000,1404000,3974000,演唱会,9.8,23992,已完结, 全2集,76,12500,简介：时代少年团作为有一定影响力的公众团体，始终都坚持用舞台和作品向观众传递向上的精神，积极承担自身的社会责任。本次演唱会体现的传统文化精神、不放弃的奋斗精神、温暖治愈的能量传递、活力元气的新青年形象等，符合和弘扬社会主义核心价值观。本次火力全开演唱会用优质的文化作品产出，为广大粉丝群体做出表率和引领。,,,,,
博士的爱情方程式,97000,979,6258,358,3840,剧情爱情家庭小说改,暂无评分,评分人数不足,117,1,29,简介：由于一场车祸，执迷数学的博士患上了奇怪的失忆症。从此他只能保有80分钟的记忆，80分钟过后，一切人和事就如同崭新的开始，因此他必须时刻在身上贴上纸条提醒自己一些重要的事情。,,,,,,
